Count Sheet Description,On Hand,Count Price,BEK Item #,BEK Name,BEK Brand,BEK Pack/Size,List Price,Match Score
Ice Cream Mix Chocolate,0.00,$0.00,221022,Pie Chocolate Cream Mini,Cyrus,8 / 7 OZ,$21.19,35.0
Ice Cream Mix Vanilla Refrigerated,0.00,$0.00,691188,Pancake Mix Sweet Cream,Krusteaz,6 / 5 LB,$49.17,35.0
Jam Strawberry Packet,1.00,$26.80,NO MATCH,,,,,17.5
Jambalaya,5.00,$9.66,121396,Mix Creole Jambalaya,Tony Chacheres,8 / 40 OZ,$59.18,80
Jelly Assorted #3 Cup 80 Grape 40 Apple 80 Mixed Fruit,0.00,$18.49,NO MATCH,,,,,21.0
Jelly Grape Pouch,1.20,$20.64,190754,Jelly Pc Grape Pouch,Welchs,200 / 0.5 OZ,$21.11,52.5
Ketchup Fancy,1.00,$6.59,NO MATCH,,,,,23.3
Ketchup Fancy Foil,0.90,$22.75,NO MATCH,,,,,23.3
Knives Black Max,8.50,$4.82,NO MATCH,,,,,17.5
Lettuce Iceberg Clean And Trim Fresh,0.00,$10.59,123145,Lettuce Iceberg Trimmed Only,Markon First Crop,4 / 6 CT,$69.48,35.0
Fruit stand lettuce,0.80,$19.16,NO MATCH,,,,,17.5
"Lettuce Shredded 1/8"" Fresh",0.00,$6.57,123073,Lettuce Shred 1/8 In K,Markon Ready Set Serve,4 / 5 LB,$26.36,35.0
Lid Container 12 Ounce Dome Ice Cream,0.25,$4.52,NO MATCH,,,,,20.0
Lid Container Polystyrene Translucent 12Oz,19.50,$2.98,NO MATCH,,,,,14.0
Lid Cup Plastic 6 Ounce Vented White,13.40,$2.30,NO MATCH,,,,,23.3
Lid Cup Plastic Vented White 4Oz,10.80,$1.85,NO MATCH,,,,,28.0
Lid Plastic Dome Container 8 Ice Cream,31.50,$3.97,NO MATCH,,,,,30.0
Lid Souffle Cup 1.5-2 Ounce Polyethylene Terephthalate Fits 1.5 And 2 Ounce Portion Cup,18.40,$1.48,NO MATCH,,,,,6.4
Macadamia nut cookie,0.30,$93.49,NO MATCH,,,,,23.3
Margarine Spread,0.00,$58.79,NO MATCH,,,,,0
Mayonnaise Pouch,0.40,$33.58,182377,Mayonnaise Pc Poly Pouch,Ellington Farms,200 / 9 GRM,$17.09,35.0
MEATLOAF,1.00,$92.71,010008,Meatloaf F/c Pull Apart 12ct,King's Command Foods,12 / 21 OZ,$93.80,80
Mix Pancake batter,5.40,$8.01,691188,Pancake Mix Sweet Cream,Krusteaz,6 / 5 LB,$49.17,35.0
Mayonnaise,3.70,$10.23,119451,Mayonnaise Extra Heavy Duty,Ellington Farms,4 / 1 GAL,$57.18,80
Muffin Corn Frozen,1.00,$32.61,NO MATCH,,,,,23.3
mac & cheese,8.00,$13.00,NO MATCH,,,,,23.3
Mustard Yellow Portion Pack,0.50,$19.48,NO MATCH,,,,,23.3
Napkin For Dispenser 6.5X8.4 White Interfold 2 Ply Advanced Fit,4.60,$6.80,NO MATCH,,,,,17.5
Napkin Xpress 13X8.5 White 1/4 Folded For Xpressnap N4 System,17.00,$3.85,NO MATCH,,,,,8.8
Oil Butter Flavor,0.00,$13.81,NO MATCH,,,,,23.3
Okra Lightly Breaded Frozen,3.50,$9.12,226619,Okra Cut Lightly Breaded,Stilwell,4 / 5 LB,$37.30,52.5
"Onion Diced 3/8"" Grade A Frozen",0.00,$0.00,NO MATCH,,,,,23.3
Onion Granulated,0.00,$0.00,152027,Onion White Jumbo,Packer,1 / 25 LB,$16.66,35.0
Onion Powder,0.95,$9.97,774024,Garlic Powder,Spice Classics,1 / 16 OZ,$7.70,35.0
"Onion White Jumbo 3"" And Up Fresh",0.90,$12.69,152027,Onion White Jumbo,Packer,1 / 25 LB,$16.66,80
Onion Yellow Large Fresh,0.00,$9.54,026761,Onion Yellow Jumbo Fresh 5lb,Packer,1 / 5 LB,$9.82,35.0
Pasta Elbow,2.40,$12.96,NO MATCH,,,,,23.3
"Pasta Spaghetti 10""",2.50,$13.60,205590,Pasta Spaghetti 10 In,Bellacibo Primo,2 / 10 LB,$27.19,80
PENNE PASTA,3.25,$13.35,700150,Pasta Penne Rigate Regular,Barilla,2 / 10 LB,$29.09,35.0
Peas Field With Snap Frozen,3.00,$5.68,NO MATCH,,,,,14.0
Pepper Bell Green Fresh,0.00,$22.69,165041,Pepper Bell Green,Markon,1 / 5 LB,$14.65,80
Pepper Bell Green Medium #1 Fresh,0.46,$12.48,165041,Pepper Bell Green,Markon,1 / 5 LB,$14.65,80
Pepper Black Ground .1Gm Flute Pack,4.00,$7.55,NO MATCH,,,,,14.0
Pepper Black Ground Shaker Disposable,34.00,$1.46,NO MATCH,,,,,14.0
Pepper Jalapeno Nacho Sliced,2.50,$7.78,685040,Pepper Jalapeno Sliced,Cajun Chef,4 / 1 GAL,$43.53,46.7
Pico De Gallo Hot Refrigerated,3.50,$14.01,187397,Pico De Gallo 5 Lb,Markon Ready Set,1 / 5 LB,$13.57,52.5
Pie Meat Original Bulk Frozen,0.50,$55.27,374344,Meat Pie Original Beef & Pork,Natchitoches Meat Pie Co,48 / 3.75 OZ,$55.27,42.0
Pork Chop 4 Ounce Boneless Center Cut Enhanced Frozen,0.70,$56.07,NO MATCH,,,,,26.2
Pork Choppette Breaded Frozen,0.00,$33.67,534047,Pork Chop Boneless Breaded,Pierre Zartic,40 / 4 OZ,$56.31,35.0
Pork Pulled With Barbecue Sauce Fully Cooked Heat In Bag Frozen,4.00,$30.28,546495,Bbq Pork Pulled With Sauce,Saucy Blues,2 / 5 LB,$60.55,35.0
Potato Mashed Deluxe Boil In Bag Refrigerated,0.00,$10.50,363433,Potato Mashed Deluxe,Simply Potatoes,4 / 6 LB,$42.97,80
Puff Pastry Ham And Cheese Frozen,0.95,$80.63,384952,Pizza Puff Ham & Cheese,Iltaco,48 / 6 OZ,$80.63,52.5
Puff Pizza Pepperoni 6 Ounce Frozen,0.95,$70.91,384951,Pizza Puff Pepperoni,Iltaco,48 / 6 OZ,$70.91,42.0
Rib st. louis fully cooked,6.00,$44.36,NO MATCH,,,,,0
Rice Long Grain Parboiled Boxed,0.75,$19.28,NO MATCH,,,,,28.0
Rice Fully Cooked IQF Simplot,7.00,$56.19,NO MATCH,,,,,23.3
Rice Spanish,5.00,$5.38,301052,Rice Parboiled,Producers Rice Mill Inc,1 / 25 LB,$13.61,35.0
Roll Dinner Hawaiian Sweet Frozen,5.00,$6.07,398411,Roll Dinner Hawaiian,Kings Hawaiian Bakery,10 / 24 CT,$59.20,80
Salsa Medium Thick And Chunky Jug,6.50,$18.55,NO MATCH,,,,,14.0
Salsa Picante Chunky Packet,0.50,$10.09,NO MATCH,,,,,23.3
Salt Garlic,0.00,$16.00,774024,Garlic Powder,Spice Classics,1 / 16 OZ,$7.70,35.0
Salt Packet .5 Gram,3.00,$3.82,NO MATCH,,,,,17.5
SAUCE ALFREDO,3.00,$13.05,122730,Sauce Alfredo Pouch,Nestle,4 / 80 OZ,$47.73,80
Sauce Barbecue Original,1.50,$13.49,NO MATCH,,,,,28.0
Sauce Barbecue Original Portion Cup,1.50,$26.06,NO MATCH,,,,,28.0
Sauce marinara,1.00,$37.08,674816,Sauce Pc Marinara Cup,Heinz,60 / 2 OZ,$37.92,35.0
Sauce Buffalo Wing,0.00,$14.83,112784,Sauce Wing Buffalo,Sweet Baby Ray's,4 / 1 GAL,$62.10,70.0
Sauce Cheese Cheddar Trans Fat Free,1.00,$9.42,184643,Cheese Sauce Cheddar,Keith Valley,6 / #10 CAN,$64.78,35.0
Sauce Chimichurri Frozen,4.00,$11.19,124163,Sauce Soy,Ellington Farms,4 / 1 GAL,$25.73,35.0
Sauce Cocktail Cup Refrigerated,0.00,$29.60,301629,Sauce Cocktail Cups Gf,Ken's,100 / 1.5 OZ,$28.94,35.0
Sauce Hot Louisiana Plastic,3.00,$13.33,NO MATCH,,,,,28.0
Sauce Hot Sauce Pouch,0.80,$14.55,122730,Sauce Alfredo Pouch,Nestle,4 / 80 OZ,$47.73,46.7
SAUCE SPAGHETTI,3.00,$6.90,007252,Sauce Spaghetti #10,Red Gold,6 / #10 CAN,$42.10,80
Sauce Sweet And Sour Cup,0.60,$19.86,115983,Sauce Pc Sweet N Sour Cup,Ken's,100 / 1 OZ,$20.31,46.7
Sauce Taco Pouch,1.00,$28.48,122730,Sauce Alfredo Pouch,Nestle,4 / 80 OZ,$47.73,46.7
Sauce Tartar Portion Cup Refrigerated,0.95,$19.89,674626,Sauce Pc Tartar Cup,Ken's,100 / 1.5 OZ,$32.02,52.5
honey,8.00,$3.31,674189,Dressing Pc Honey Mustard Cup,Ken's,100 / 1.5 OZ,$28.88,80
honey hot,15.00,$7.23,NO MATCH,,,,,17.5
Sausage Link 4-1 Smoked Frozen,0.00,$42.87,153064,Sausage Link Pineapple,Country Pleasin,1 / 10 LB,$51.37,46.7
Sausage Original Link Smoked Split Frozen,0.30,$49.07,184380,Sausage Link Smoked Split 2.5 oz,Country Pleasin,1 / 10 LB,$48.52,52.5
sausage pork jalapeno smoked chedder,0.00,$25.00,NO MATCH,,,,,17.5
Sausage Patty Special Recipe Fully Cooked Frozen,1.00,$48.46,111468,Sausage Patty 2 Oz Cooked,Special Recipe,80 / 2 OZ,$48.46,35.0
Sausage Pine/Apple 4-1 link,0.00,$51.63,153064,Sausage Link Pineapple,Country Pleasin,1 / 10 LB,$51.37,52.5
"Sausage Smokies Link 5"" Hickory Smoked Collagen Casing Frozen",0.00,$48.18,NO MATCH,,,,,30.0
Seasoning Blend Garlic Pepper,1.40,$19.17,774080,Pepper Lemon Seasoning,Mccormick,1 / 28 OZ,$16.68,35.0
Seasoning Blend Lemon Pepper,5.25,$18.47,774080,Pepper Lemon Seasoning,Mccormick,1 / 28 OZ,$16.68,52.5
Seasoning Blend Montreal Chicken Powder Grill Mates,2.00,$11.82,NO MATCH,,,,,20.0
Seasoning Blend Montreal Steak Grill Mates,9.50,$13.50,774492,Seasoning Montreal Steak,Mccormick,1 / 29 OZ,$14.01,35.0
Seasoning Creole Original,3.50,$21.68,115570,Seasoning Creole Original,Tony Chacheres,4 / 8 LB,$80.45,100
"Shell Taco Yellow Whole Grain 5"" Meets School Grain Requirements",0.50,$2.90,NO MATCH,,,,,7.8
Shortening Clear Liquid Fry,0.50,$35.62,779123,Shortening Clear Fry Liquid,Keith's Homestyle,1 / 35 LB,$35.62,70.0
Shrimp White 31-40 Raw Peeled Deveined Tail Off Phosphate Free Individually Quick Frozen,3.00,$12.57,NO MATCH,,,,,23.3
Soft Serve Chocolate Ice Cream Mix,5.00,$13.30,773505,Soft Serve Chocolate,Frostline,6 / 6 LB,$80.60,80
Soft Serve Vanilla Ice Cream Mix,6.00,$13.70,018070,Soft Serve Mix Van Non Dairy,Frostline,6 / 6 LB,$78.19,35.0
Soup Chicken Tortilla Frozen,0.00,$14.38,123886,Soup Cream Of Chicken,Ellington Farms,12 / 50 OZ,$69.27,35.0
Soup Chili With Bean,2.00,$17.80,NO MATCH,,,,,23.3
Soup Cream Of Chicken,6.00,$6.05,123886,Soup Cream Of Chicken,Ellington Farms,12 / 50 OZ,$69.27,100
Sour Cream Packet Refrigerated,0.40,$13.66,669005,Sour Cream Pc,Daisy Brands,100 / 1 OZ,$13.98,46.7
Spice Salt Shaker,43.00,$0.47,NO MATCH,,,,,23.3
Spoon Plastic Heavy Weight Black Polypropylene Max Stax Refill,36.00,$1.71,NO MATCH,,,,,7.8
Sprinkle Rainbow,0.50,$28.88,NO MATCH,,,,,0
Squash Yellow Sliced Smooth Individually Quick Frozen,8.00,$2.95,170174,Squash Yellow Sliced,Fineline,12 / 3 LB,$50.50,80
Sugar Waffle Dust,0.00,$6.61,NO MATCH,,,,,23.3
Syrup Breakfast Maple Imitation 1.4 Ounce Portion Cup,0.50,$18.43,NO MATCH,,,,,17.5
Syrup Chocolate Full Flavor Ready To Use Can,6.30,$13.12,NO MATCH,,,,,14.0
Tamale Beef 18 Bag Of 4 Frozen,5.00,$4.84,NO MATCH,,,,,23.3
TAMALE CHICKEN 18 BAG OF 4 FROZEN,8.00,$4.71,NO MATCH,,,,,23.3
